PassengerId,Survived
100000,0
100001,0
100002,0
100003,0
100004,0
100005,0
100006,0
100007,0
100008,0
100009,0
100010,0
100011,0
100012,0
100013,0
100014,1
100015,0
100016,0
100017,0
100018,0
100019,1
100020,0
100021,0
100022,0
100023,1
100024,0
100025,1
100026,0
100027,1
100028,0
100029,0
100030,0
100031,0
100032,1
100033,1
100034,1
100035,0
100036,1
100037,0
100038,1
100039,1
100040,1
100041,0
100042,1
100043,0
100044,0
100045,1
100046,0
100047,0
100048,0
100049,0
100050,1
100051,1
100052,0
100053,1
100054,0
100055,0
100056,1
100057,1
100058,0
100059,0
100060,0
100061,0
100062,0
100063,1
100064,0
100065,1
100066,1
100067,0
100068,1
100069,0
100070,0
100071,0
100072,0
100073,1
100074,0
100075,0
100076,1
100077,0
100078,1
100079,0
100080,0
100081,0
100082,1
100083,0
100084,1
100085,0
100086,0
100087,0
100088,0
100089,0
100090,1
100091,0
100092,0
100093,0
100094,1
100095,1
100096,1
100097,1
100098,1
100099,1
100100,0
100101,1
100102,0
100103,0
100104,0
100105,0
100106,0
100107,1
100108,1
100109,1
100110,0
100111,0
100112,0
100113,0
100114,0
100115,0
100116,1
100117,0
100118,1
100119,1
100120,0
100121,0
100122,0
100123,0
100124,0
100125,1
100126,0
100127,0
100128,0
100129,0
100130,1
100131,0
100132,1
100133,0
100134,0
100135,1
100136,0
100137,1
100138,1
100139,0
100140,0
100141,1
100142,0
100143,0
100144,0
100145,0
100146,1
100147,0
100148,0
100149,0
100150,1
100151,1
100152,1
100153,0
100154,0
100155,0
100156,0
100157,1
100158,0
100159,1
100160,0
100161,1
100162,1
100163,0
100164,0
100165,1
100166,1
100167,0
100168,0
100169,1
100170,1
100171,1
100172,1
100173,0
100174,1
100175,1
100176,1
100177,0
100178,1
100179,0
100180,0
100181,1
100182,0
100183,1
100184,1
100185,0
100186,1
100187,0
100188,1
100189,1
100190,0
100191,0
100192,1
100193,1
100194,0
100195,0
100196,0
100197,0
100198,0
100199,0
100200,1
100201,0
100202,1
100203,1
100204,1
100205,0
100206,1
100207,1
100208,1
100209,0
100210,1
100211,1
100212,0
100213,0
100214,1
100215,0
100216,1
100217,0
100218,0
100219,0
100220,0
100221,0
100222,1
100223,0
100224,0
100225,1
100226,0
100227,1
100228,0
100229,0
100230,1
100231,1
100232,1
100233,0
100234,0
100235,1
100236,1
100237,1
100238,1
100239,1
100240,0
100241,0
100242,0
100243,1
100244,0
100245,0
100246,1
100247,1
100248,1
100249,0
100250,0
100251,0
100252,0
100253,0
100254,0
100255,1
100256,0
100257,1
100258,0
100259,0
100260,0
100261,1
100262,1
100263,1
100264,0
100265,0
100266,0
100267,1
100268,1
100269,1
100270,0
100271,0
100272,0
100273,1
100274,1
100275,0
100276,1
100277,0
100278,0
100279,0
100280,0
100281,1
100282,0
100283,1
100284,0
100285,0
100286,0
100287,0
100288,0
100289,1
100290,0
100291,0
100292,1
100293,1
100294,0
100295,0
100296,1
100297,0
100298,1
100299,0
100300,0
100301,1
100302,0
100303,1
100304,0
100305,1
100306,0
100307,0
100308,0
100309,0
100310,0
100311,1
100312,1
100313,0
100314,1
100315,1
100316,0
100317,0
100318,1
100319,0
100320,0
100321,0
100322,1
100323,0
100324,1
100325,0
100326,0
100327,1
100328,0
100329,0
100330,0
100331,1
100332,0
100333,0
100334,0
100335,1
100336,1
100337,0
100338,0
100339,1
100340,0
100341,1
100342,0
100343,1
100344,0
100345,1
100346,0
100347,0
100348,1
100349,0
100350,1
100351,0
100352,1
100353,1
100354,0
100355,0
100356,1
100357,1
100358,1
100359,0
100360,0
100361,0
100362,0
100363,0
100364,1
100365,0
100366,0
100367,0
100368,0
100369,0
100370,0
100371,0
100372,1
100373,0
100374,0
100375,0
100376,0
100377,0
100378,1
100379,0
100380,0
100381,0
100382,0
100383,1
100384,0
100385,1
100386,1
100387,0
100388,1
100389,1
100390,0
100391,0
100392,0
100393,1
100394,0
100395,1
100396,0
100397,0
100398,0
100399,1
100400,0
100401,1
100402,0
100403,1
100404,0
100405,0
100406,0
100407,0
100408,0
100409,1
100410,0
100411,1
100412,1
100413,1
100414,0
100415,1
100416,0
100417,0
100418,0
100419,0
100420,0
100421,1
100422,0
100423,0
100424,1
100425,0
100426,0
100427,0
100428,1
100429,1
100430,1
100431,0
100432,1
100433,1
100434,0
100435,0
100436,0
100437,0
100438,0
100439,1
100440,0
100441,0
100442,0
100443,0
100444,1
100445,0
100446,1
100447,1
100448,0
100449,0
100450,1
100451,0
100452,0
100453,0
100454,1
100455,1
100456,0
100457,0
100458,0
100459,0
100460,1
100461,0
100462,0
100463,0
100464,0
100465,1
100466,0
100467,0
100468,0
100469,0
100470,0
100471,1
100472,1
100473,1
100474,0
100475,0
100476,1
100477,0
100478,0
100479,0
100480,0
100481,0
100482,0
100483,0
100484,1
100485,0
100486,1
100487,0
100488,0
100489,1
100490,1
100491,1
100492,0
100493,0
100494,1
100495,0
100496,0
100497,0
100498,1
100499,1
100500,1
100501,0
100502,0
100503,1
100504,1
100505,0
100506,1
100507,0
100508,1
100509,1
100510,0
100511,1
100512,0
100513,1
100514,1
100515,0
100516,0
100517,1
100518,0
100519,0
100520,1
100521,0
100522,0
100523,1
100524,1
100525,1
100526,0
100527,0
100528,0
100529,1
100530,0
100531,1
100532,0
100533,0
100534,0
100535,0
100536,1
100537,1
100538,1
100539,0
100540,1
100541,0
100542,1
100543,1
100544,0
100545,0
100546,0
100547,0
100548,1
100549,1
100550,0
100551,0
100552,1
100553,1
100554,0
100555,0
100556,0
100557,0
100558,1
100559,1
100560,0
100561,0
100562,0
100563,0
100564,0
100565,0
100566,0
100567,1
100568,1
100569,1
100570,1
100571,0
100572,0
100573,1
100574,1
100575,0
100576,1
100577,0
100578,0
100579,0
100580,0
100581,0
100582,1
100583,0
100584,0
100585,0
100586,0
100587,0
100588,1
100589,0
100590,1
100591,0
100592,1
100593,0
100594,0
100595,1
100596,0
100597,0
100598,1
100599,0
100600,1
100601,0
100602,1
100603,1
100604,0
100605,0
100606,0
100607,0
100608,0
100609,0
100610,1
100611,0
100612,0
100613,0
100614,1
100615,0
100616,0
100617,1
100618,0
100619,0
100620,0
100621,1
100622,0
100623,1
100624,0
100625,1
100626,0
100627,0
100628,1
100629,0
100630,0
100631,1
100632,0
100633,0
100634,1
100635,0
100636,0
100637,1
100638,0
100639,1
100640,0
100641,1
100642,0
100643,0
100644,0
100645,1
100646,1
100647,0
100648,0
100649,0
100650,1
100651,0
100652,1
100653,1
100654,1
100655,0
100656,0
100657,0
100658,1
100659,0
100660,0
100661,1
100662,1
100663,1
100664,0
100665,0
100666,0
100667,1
100668,0
100669,1
100670,1
100671,0
100672,1
100673,0
100674,1
100675,1
100676,1
100677,0
100678,0
100679,1
100680,1
100681,0
100682,0
100683,1
100684,0
100685,0
100686,0
100687,0
100688,0
100689,0
100690,1
100691,0
100692,0
100693,1
100694,1
100695,0
100696,0
100697,0
100698,0
100699,0
100700,0
100701,0
100702,0
100703,1
100704,0
100705,0
100706,0
100707,1
100708,0
100709,0
100710,0
100711,1
100712,1
100713,1
100714,1
100715,0
100716,1
100717,1
100718,0
100719,1
100720,1
100721,1
100722,0
100723,1
100724,1
100725,0
100726,1
100727,0
100728,1
100729,0
100730,0
100731,1
100732,0
100733,1
100734,0
100735,0
100736,1
100737,1
100738,0
100739,0
100740,0
100741,1
100742,0
100743,1
100744,0
100745,0
100746,1
100747,0
100748,0
100749,1
100750,1
100751,0
100752,0
100753,0
100754,0
100755,0
100756,1
100757,1
100758,1
100759,0
100760,0
100761,1
100762,0
100763,0
100764,1
100765,0
100766,0
100767,1
100768,0
100769,0
100770,1
100771,1
100772,1
100773,1
100774,0
100775,0
100776,1
100777,1
100778,0
100779,0
100780,0
100781,1
100782,0
100783,1
100784,0
100785,0
100786,0
100787,0
100788,1
100789,0
100790,0
100791,0
100792,0
100793,1
100794,0
100795,0
100796,1
100797,0
100798,0
100799,0
100800,1
100801,1
100802,1
100803,1
100804,0
100805,0
100806,1
100807,1
100808,0
100809,0
100810,0
100811,0
100812,0
100813,0
100814,0
100815,1
100816,1
100817,0
100818,1
100819,0
100820,1
100821,1
100822,0
100823,0
100824,1
100825,1
100826,0
100827,0
100828,0
100829,0
100830,0
100831,1
100832,0
100833,0
100834,0
100835,0
100836,1
100837,1
100838,0
100839,0
100840,1
100841,1
100842,0
100843,0
100844,0
100845,0
100846,0
100847,0
100848,0
100849,0
100850,1
100851,0
100852,0
100853,0
100854,0
100855,1
100856,0
100857,0
100858,1
100859,1
100860,1
100861,1
100862,0
100863,1
100864,0
100865,0
100866,1
100867,0
100868,1
100869,0
100870,0
100871,0
100872,0
100873,0
100874,0
100875,0
100876,0
100877,1
100878,1
100879,0
100880,0
100881,1
100882,1
100883,0
100884,0
100885,0
100886,1
100887,0
100888,1
100889,0
100890,1
100891,1
100892,0
100893,1
100894,1
100895,1
100896,0
100897,0
100898,1
100899,0
100900,0
100901,0
100902,1
100903,1
100904,0
100905,1
100906,0
100907,0
100908,0
100909,1
